+----------+----------+--------------+--------------+
|    x1    |    x2    |     f12      |     f21      |
|   0.01   |   1.77   |   93.3940    |   164.9149   |
|   0.01   |   1.78   |   93.8529    |   165.4739   |
|   0.01   |   1.79   |   94.3119    |   166.0365   |
|   0.01   |   1.80   |   94.7708    |   166.6027   |
|   0.01   |   1.81   |   95.2297    |   167.1725   |
|   0.01   |   1.82   |   95.6886    |   167.7459   |
|   0.01   |   1.83   |   96.1475    |   168.3229   |
|   0.01   |   1.84   |   96.6064    |   168.9036   |
|   0.01   |   1.85   |   97.0653    |   169.4878   |
|   0.01   |   1.86   |   97.5242    |   170.0756   |
|   0.01   |   1.87   |   97.9831    |   170.6670   |
|   0.01   |   1.88   |   98.4420    |   171.2620   |
|   0.01   |   1.89   |   98.9008    |   171.8606   |
|   0.01   |   1.90   |   99.3597    |   172.4629   |
|   0.01   |   1.91   |   99.8186    |   173.0687   |
|   0.01   |   1.92   |   100.2774   |   173.6781   |
|   0.01   |   1.93   |   100.7363   |   174.2911   |
|   0.01   |   1.94   |   101.1951   |   174.9077   |
|   0.01   |   1.95   |   101.6539   |   175.5279   |
|   0.01   |   1.96   |   102.1128   |   176.1517   |
|   0.01   |   1.97   |   102.5716   |   176.7792   |
|   0.01   |   1.98   |   103.0304   |   177.4102   |
|   0.01   |   1.99   |   103.4892   |   178.0448   |
|   0.01   |   2.00   |   103.9480   |   178.6830   |
+----------+----------+--------------+--------------+
|   0.02   |   0.00   |   12.1320    |   122.3600   |
|   0.02   |   0.01   |   12.5920    |   122.2819   |
|   0.02   |   0.02   |   13.0520    |   122.2073   |
|   0.02   |   0.03   |   13.5119    |   122.1364   |
|   0.02   |   0.04   |   13.9719    |   122.0690   |
|   0.02   |   0.05   |   14.4319    |   122.0053   |
|   0.02   |   0.06   |   14.8918    |   121.9452   |
|   0.02   |   0.07   |   15.3517    |   121.8886   |
|   0.02   |   0.08   |   15.8116    |   121.8357   |
|   0.02   |   0.09   |   16.2715    |   121.7863   |
|   0.02   |   0.10   |   16.7314    |   121.7406   |
|   0.02   |   0.11   |   17.1913    |   121.6985   |
|   0.02   |   0.12   |   17.6511    |   121.6599   |
|   0.02   |   0.13   |   18.1110    |   121.6250   |
|   0.02   |   0.14   |   18.5708    |   121.5936   |
|   0.02   |   0.15   |   19.0307    |   121.5659   |
|   0.02   |   0.16   |   19.4905    |   121.5418   |
|   0.02   |   0.17   |   19.9503    |   121.5212   |
|   0.02   |   0.18   |   20.4101    |   121.5043   |
|   0.02   |   0.19   |   20.8698    |   121.4909   |
|   0.02   |   0.20   |   21.3296    |   121.4812   |
|   0.02   |   0.21   |   21.7894    |   121.4751   |
|   0.02   |   0.22   |   22.2491    |   121.4725   |
|   0.02   |   0.23   |   22.7088    |   121.4736   |
|   0.02   |   0.24   |   23.1685    |   121.4782   |
|   0.02   |   0.25   |   23.6283    |   121.4865   |
|   0.02   |   0.26   |   24.0879    |   121.4984   |
|   0.02   |   0.27   |   24.5476    |   121.5138   |
|   0.02   |   0.28   |   25.0073    |   121.5329   |
|   0.02   |   0.29   |   25.4670    |   121.5555   |
|   0.02   |   0.30   |   25.9266    |   121.5818   |
|   0.02   |   0.31   |   26.3862    |   121.6117   |
|   0.02   |   0.32   |   26.8459    |   121.6451   |
|   0.02   |   0.33   |   27.3055    |   121.6822   |
|   0.02   |   0.34   |   27.7651    |   121.7228   |
|   0.02   |   0.35   |   28.2247    |   121.7671   |
|   0.02   |   0.36   |   28.6842    |   121.8150   |
|   0.02   |   0.37   |   29.1438    |   121.8664   |
|   0.02   |   0.38   |   29.6033    |   121.9215   |
|   0.02   |   0.39   |   30.0629    |   121.9801   |
|   0.02   |   0.40   |   30.5224    |   122.0424   |
|   0.02   |   0.41   |   30.9819    |   122.1083   |
|   0.02   |   0.42   |   31.4414    |   122.1777   |
|   0.02   |   0.43   |   31.9009    |   122.2508   |
|   0.02   |   0.44   |   32.3604    |   122.3274   |
|   0.02   |   0.45   |   32.8199    |   122.4077   |
|   0.02   |   0.46   |   33.2793    |   122.4916   |
|   0.02   |   0.47   |   33.7387    |   122.5790   |
|   0.02   |   0.48   |   34.1982    |   122.6701   |
|   0.02   |   0.49   |   34.6576    |   122.7647   |
|   0.02   |   0.50   |   35.1170    |   122.8630   |
|   0.02   |   0.51   |   35.5764    |   122.9649   |
|   0.02   |   0.52   |   36.0358    |   123.0703   |
|   0.02   |   0.53   |   36.4951    |   123.1794   |
|   0.02   |   0.54   |   36.9545    |   123.2920   |
|   0.02   |   0.55   |   37.4138    |   123.4083   |
|   0.02   |   0.56   |   37.8732    |   123.5282   |
|   0.02   |   0.57   |   38.3325    |   123.6516   |
|   0.02   |   0.58   |   38.7918    |   123.7787   |
|   0.02   |   0.59   |   39.2511    |   123.9093   |
|   0.02   |   0.60   |   39.7104    |   124.0436   |
|   0.02   |   0.61   |   40.1697    |   124.1815   |
|   0.02   |   0.62   |   40.6289    |   124.3229   |
|   0.02   |   0.63   |   41.0882    |   124.4680   |
|   0.02   |   0.64   |   41.5474    |   124.6166   |
|   0.02   |   0.65   |   42.0067    |   124.7689   |
|   0.02   |   0.66   |   42.4659    |   124.9248   |
|   0.02   |   0.67   |   42.9251    |   125.0842   |
|   0.02   |   0.68   |   43.3843    |   125.2473   |
|   0.02   |   0.69   |   43.8434    |   125.4139   |
|   0.02   |   0.70   |   44.3026    |   125.5842   |
|   0.02   |   0.71   |   44.7618    |   125.7581   |
|   0.02   |   0.72   |   45.2209    |   125.9355   |
|   0.02   |   0.73   |   45.6800    |   126.1166   |
|   0.02   |   0.74   |   46.1391    |   126.3012   |
|   0.02   |   0.75   |   46.5983    |   126.4895   |
|   0.02   |   0.76   |   47.0573    |   126.6814   |
|   0.02   |   0.77   |   47.5164    |   126.8768   |
|   0.02   |   0.78   |   47.9755    |   127.0759   |
|   0.02   |   0.79   |   48.4346    |   127.2785   |
|   0.02   |   0.80   |   48.8936    |   127.4848   |
|   0.02   |   0.81   |   49.3526    |   127.6947   |
|   0.02   |   0.82   |   49.8117    |   127.9081   |
|   0.02   |   0.83   |   50.2707    |   128.1252   |
|   0.02   |   0.84   |   50.7297    |   128.3458   |
|   0.02   |   0.85   |   51.1887    |   128.5701   |
|   0.02   |   0.86   |   51.6476    |   128.7980   |
|   0.02   |   0.87   |   52.1066    |   129.0294   |
|   0.02   |   0.88   |   52.5655    |   129.2645   |
